"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
53360;486567;34160;365450;39222,39;1003,217;-300,2707;12277,07;26185,03;-1154,765;636,8202;500,1528;2030
110832;654992;24704;149685;50193,64;-360,3081;1786,12;22844,05;55511,45;-774,8131;435,2863;1232,916;2035
72224;472375;44032;275154;50063,27;3824,39;1633,8;12377,38;29860,53;-833,4617;6657,332;1411,818;2047
45408;444030;14208;118907;5870,546;-248,775;1105,723;958,4341;51,5643;76,80627;140,6715;156,7107;2058
71008;464597;24384;153544;68545,34;1220,825;-5952,976;22230,35;27459,49;-2093,191;219,0965;850,6256;2059
87984;502647;19328;108959;15850,63;420,6163;2,798737;6693,684;4040,68;-260,7636;223,8443;1164,77;2060
75328;427385;22816;134664;9367,859;808,1598;376,5467;12159,08;8684,962;-123,0428;238,5258;575,0984;2105
86560;485044;27280;161632;35124,4;662,2468;-2671,906;8032,855;16322,54;-711,2786;938,1588;591,7286;2113
34352;281227;28096;184341;70220,19;-335,3824;-2202,439;9487,101;29254,41;-1678,179;92,58537;1395,974;2121
112480;688606;36240;210918;30042,52;14278,19;-1790,998;5152,864;19684,38;-724,0983;298,9915;512,9343;2129
71920;587061;20160;180626;35489,21;2422,599;7471,207;12953,58;41603,66;-1378,578;383,8271;1409,523;2136
88656;527491;24544;153274;37917,62;179,259;3032,561;13172,38;62161,51;-2741,344;549,5102;1984,129;2142
103840;637879;23456;144734;2323,95;669,3683;1668,647;8400,051;-1086,718;-213,2912;13279,37;660,9335;2160
87184;579746;34384;236488;53193,85;1460,5;2991,793;24946,48;28520,54;-1590,91;-240,4538;9028,406;2169
98144;574942;29280;181744;52897,43;1428,868;-2228,204;15429,61;45526,11;-2223,11;3129,051;725,421;2170
69152;409050;38496;233095;29996,22;822,5447;805,0552;12974,49;27797,57;-1336,05;295,1801;1442,725;2180
83408;507238;20640;128265;20139,14;339,1952;3672,634;14530,78;10108,87;-581,1425;430,8956;3490,545;2187
67312;497456;47200;340766;15566,34;598,5686;-1731,366;6593,338;-657,7708;18410,77;16650,62;106,3999;2191
